iter	RMSE
0	9931.603731
1	9516.02655
2	9139.964529
3	8790.119815
4	8455.800854
5	8140.0023
6	7843.132469
7	7570.572659
8	7292.99684
9	7032.022757
10	6820.48888
11	6556.139464
12	6336.537425
13	6120.747751
14	5926.462648
15	5717.508125
16	5532.46861
17	5365.249465
18	5204.010068
19	5036.84565
20	4887.205132
21	4723.400464
22	4585.074047
23	4448.206937
24	4324.304192
25	4189.879044
26	4088.096311
27	3982.646808
28	3895.43414
29	3802.529163
30	3700.864577
31	3599.319753
32	3509.798588
33	3427.622027
34	3351.816256
35	3265.07079
36	3184.853758
37	3119.475523
38	3055.808182
39	2981.772427
40	2929.932593
41	2873.318545
42	2817.173274
43	2766.394142
44	2720.638103
45	2670.947186
46	2621.085012
47	2575.288814
48	2538.568428
49	2496.317998
50	2464.42982
51	2428.930294
52	2401.119848
53	2371.788422
54	2333.781749
55	2305.692105
56	2274.636534
57	2241.439314
58	2216.82674
59	2189.099462
60	2169.919559
61	2146.280457
62	2125.991951
63	2108.960929
64	2088.006493
65	2061.37361
66	2045.27593
67	2027.042629
68	2013.205854
69	1990.534741
70	1970.524193
71	1953.228282
72	1924.664919
73	1910.189437
74	1897.753119
75	1879.382537
76	1857.868618
77	1841.235405
78	1827.135925
79	1807.717913
80	1789.966036
81	1776.314029
82	1765.286913
83	1750.029401
84	1736.901656
85	1727.776304
86	1711.944543
87	1703.335772
88	1691.991499
89	1681.436321
90	1671.677384
91	1660.607825
92	1653.215789
93	1641.737589
94	1630.41111
95	1620.655695
96	1607.346064
97	1592.800661
98	1583.039196
99	1573.982463
100	1567.826179
101	1559.032895
102	1548.786606
103	1536.646896
104	1529.885023
105	1520.189385
106	1512.242573
107	1503.921429
108	1496.831501
109	1483.803011
110	1478.044326
111	1470.692756
112	1464.362352
113	1458.189915
114	1453.357505
115	1447.965381
116	1442.686465
117	1436.826808
118	1432.057186
119	1428.340586
120	1420.145352
121	1410.372301
122	1405.87024
123	1402.144703
124	1398.884854
125	1394.453952
126	1391.211539
127	1385.233786
128	1376.151087
129	1371.879366
130	1365.469546
131	1361.337281
132	1357.581065
133	1351.370729
134	1343.749757
135	1337.025488
136	1333.023822
137	1324.45932
138	1316.563981
139	1313.093728
140	1309.995655
141	1306.752196
142	1304.831917
143	1302.801023
144	1297.774975
145	1295.767932
146	1291.264924
147	1285.278874
148	1278.647934
149	1273.972413
150	1271.454297
151	1266.920358
152	1262.775581
153	1258.315325
154	1254.375417
155	1252.347764
156	1250.331552
157	1247.958777
158	1242.899115
159	1239.386371
160	1235.843828
161	1234.515481
162	1228.970597
163	1224.781718
164	1222.614106
165	1219.140979
166	1217.180776
167	1213.780802
168	1211.778219
169	1209.307292
170	1207.133073
171	1203.123921
172	1200.339942
173	1197.904871
174	1195.303753
175	1193.234712
176	1191.25378
177	1189.609376
178	1187.184788
179	1184.038982
180	1181.077014
181	1179.086164
182	1176.668587
183	1175.252404
184	1172.35255
185	1169.20436
186	1167.263793
187	1164.907084
188	1162.609061
189	1160.700285
190	1157.493598
191	1155.597123
192	1154.220334
193	1151.941355
194	1149.99249
195	1148.110389
196	1145.155514
197	1142.404142
198	1139.794516
199	1137.83061
200	1136.107362
201	1134.382808
202	1132.133613
203	1130.806312
204	1129.191818
205	1125.186723
206	1124.089779
207	1122.719013
208	1121.448585
209	1119.568492
210	1117.41951
211	1116.488867
212	1115.50805
213	1113.416269
214	1111.902985
215	1110.1714
216	1108.160792
217	1105.136077
218	1101.890113
219	1099.871311
220	1098.465853
221	1097.240082
222	1095.883944
223	1095.371117
224	1094.222593
225	1093.774708
226	1090.938176
227	1089.254009
228	1087.457232
229	1086.347334
230	1084.090279
231	1082.727729
232	1080.818776
233	1079.331939
234	1076.961214
235	1074.893275
236	1073.779243
237	1072.021736
238	1069.376041
239	1067.859046
240	1066.59567
241	1065.505555
242	1065.242188
243	1063.735316
244	1062.547601
245	1060.150913
246	1059.181699
247	1057.650569
248	1056.562046
249	1055.671209
250	1054.390059
251	1052.454682
252	1051.038693
253	1049.718728
254	1048.938597
255	1046.738688
256	1045.542775
257	1042.555307
258	1041.432904
259	1040.523149
260	1039.018475
261	1037.747853
262	1036.371743
263	1034.913113
264	1033.573543
265	1031.245338
266	1029.753004
267	1028.381587
268	1026.90024
269	1025.603063
270	1023.691093
271	1023.328539
272	1021.556308
273	1020.784026
274	1019.157263
275	1017.76895
276	1015.806722
277	1014.604103
278	1012.909035
279	1011.51794
280	1009.852326
281	1008.529716
282	1007.195272
283	1006.052415
284	1004.894102
285	1003.023464
286	1001.909616
287	1000.421782
288	999.3161759
289	997.9057715
290	995.7627748
