iter	Passed	Remaining
0	5	5550
1	10	5482
2	15	5301
3	21	5273
4	26	5239
5	31	5238
6	36	5197
7	41	5200
8	47	5178
9	52	5165
10	57	5146
11	62	5133
12	67	5125
13	72	5104
14	77	5113
15	84	5176
16	89	5154
17	94	5149
18	99	5143
19	104	5115
20	109	5089
21	114	5070
22	118	5049
23	123	5027
24	128	5012
25	133	5001
26	138	4988
27	143	4967
28	147	4954
29	152	4939
30	158	4964
31	164	4988
32	171	5029
33	176	5022
34	182	5039
35	188	5048
36	193	5041
37	200	5071
38	206	5088
39	211	5084
40	216	5071
41	222	5065
42	226	5045
43	231	5037
44	236	5020
45	241	5010
46	246	4994
47	251	4979
48	256	4969
49	261	4959
50	265	4942
51	270	4932
52	275	4923
53	280	4919
54	285	4910
55	290	4897
56	295	4886
57	300	4874
58	304	4862
59	310	4859
60	315	4850
61	319	4836
62	325	4838
63	330	4835
64	335	4830
65	342	4842
66	349	4864
67	356	4887
68	362	4893
69	371	4929
70	377	4933
71	385	4972
72	391	4974
73	396	4963
74	401	4955
75	406	4941
76	411	4930
77	416	4923
78	421	4912
79	426	4900
80	430	4887
81	435	4881
82	440	4870
83	445	4858
84	450	4847
85	455	4839
86	460	4829
87	464	4817
88	469	4807
89	474	4797
90	479	4786
91	483	4775
92	488	4769
93	496	4787
94	503	4794
95	512	4827
96	518	4826
97	524	4827
98	529	4821
99	535	4819
100	540	4807
101	544	4796
102	551	4800
103	556	4790
104	560	4779
105	565	4768
106	570	4762
107	575	4751
108	580	4747
109	585	4738
110	590	4728
111	595	4719
112	599	4709
113	604	4698
114	609	4688
115	614	4684
116	619	4675
117	624	4665
118	629	4657
119	633	4649
120	638	4639
121	643	4630
122	648	4622
123	653	4614
124	660	4621
125	665	4618
126	671	4616
127	678	4624
128	684	4622
129	690	4622
130	696	4623
131	703	4629
132	710	4632
133	717	4639
134	723	4637
135	730	4639
136	736	4641
137	742	4635
138	749	4639
139	753	4631
140	759	4624
141	763	4615
142	768	4606
143	773	4600
144	778	4590
145	783	4581
146	788	4572
147	793	4565
148	797	4556
149	802	4547
150	807	4540
151	813	4536
152	818	4531
153	824	4528
154	829	4523
155	835	4518
156	840	4514
157	846	4512
158	852	4507
159	857	4501
160	862	4496
161	868	4491
162	873	4485
163	878	4478
164	883	4471
165	888	4464
166	893	4457
167	898	4451
168	903	4442
169	908	4434
170	913	4427
171	918	4419
172	922	4411
173	927	4403
174	932	4396
175	937	4387
176	942	4380
